dialogue_id,final_turn_index,goals,evidence_user_turn_and_quote,notes,input_sha256
1,4,,,,140fa10f82903e42e880145b2913fc70109d6ec8784c7f20cac16645e0b05ebf
64,4,,,,a543305a3725dd189333ee9c5cece00e1c1693fd75264f3e14a2fe1bd6e94864
79,4,,,,43baa6c9a45878e86dbfa22f76d56fa5b88b4d7ae1605bf71839830bf9973473
128,4,,,,33ef95eb5438659993c76237dfd2ee916dd4f3a8dd2901bccb941b31f531141f
164,5,,,,a42c919e870e1230c4f6280fedd9231c68fb9608d666376ea2b3f37bcbe11321
222,4,,,,c06931c26c6cea8e5bd8020387f6b72bc0cc151527fb81301091b2a954f0d7b8
239,4,,,,e29a5c5d4908f6362daa4df0709d1723d84c049c15894c0c02c76fddb241aa1c
265,3,,,,a93398c2b7a528c57ac7dac1e3c99aa23c30e0e76f4940fb4c1b2c0c3b02c262
292,5,,,,300c76a39136ecfe5ed820e2f2ebf49fffc16600faefd551a15e52ccdaa9ce7e
304,4,,,,9c5c65edea85c1650a7ff7b7866f11e91a87292ea0fcad7bfb27105f6e3fc384
308,4,,,,89888f3e389f595171b3ee2e6eb3dce7fcb829a6d4695113568e54afd8bfca6e
310,4,,,,022d0c199a7bedddf5bc648b296aafa4964bdd7606ca69810517332d905028c7
376,3,,,,bdbf3d8b029b22005a959d707bfbca7411a4e40302b0014bd363bf4a40f9dc10
389,4,,,,508f309e961b7dad65e25a962cc8f4daaaf51e53430e200801c1b4707226da43
394,2,,,,6357f838ffd758e44b2dae71538e035f8e17ad55f3a76ec933003686abb47a00
574,4,,,,46ebfa92b48f4e41ff061cf609284ea63ab4d1ebc6fcaa79399120714cb6598d
584,4,,,,3d27fd0ae9a951b36a3f8c994e799b4f4fca1e6f9fd3a46bffb43948fba12671
595,3,,,,2a05660e019d34fb6307798f7c5c3bfe7c33e890e27c9f1a17d6e30a3ca1a6dd
600,4,,,,6fc5c246b37f2a02c6b8bd4c91b9a98442dd40caac6e1a8488dcdd2eb4cd764c
605,3,,,,0087ca589a54d47d8892830ac5d905eebb0df325b279f484b25ea1ae2faab891
613,4,,,,e3d6d1b7a9f72b034abcc71d48d0c9fb334a2e01c30521ae17f489277b2b8153
643,4,,,,5c94d2386240c99d5d13e6fc76cbc6b081839db2c1f3a6445d8d99cf6a0e5b93
669,4,,,,bb9027c8b252f5b2abedfacbeafe47c68263892e1e6ec3c9288c29eb9186a5cb
670,4,,,,a71b64e0ffb5328b4b504e7389b3ce8610490868dadcaa610732a4c782f39666
